Date,Open,High,Low,Close,Volume
,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS,TATAMOTORS.NS
2023-10-30,634.3843914642812,634.3843914642812,612.7553989190546,619.3081665039062,12786883
2023-10-31,632.6107253323898,632.6107253323898,618.125701368706,619.4559936523438,11395766
2023-11-01,620.7862479248582,624.5306608838381,617.1403484085422,618.5198974609375,8785264
2023-11-02,622.7569761278653,628.8663129221796,620.8847396426269,627.1419067382812,9934305
2023-11-03,652.318272464708,656.2597726004465,636.749358957045,638.0303344726562,23087856
2023-11-06,643.3020393810116,643.3020393810116,633.7932067950397,636.6015014648438,10801301
2023-11-07,635.56689453125,640.3952562366345,633.8917449512685,635.56689453125,6588073
2023-11-08,638.5230158729405,639.5576476201568,632.5122522805267,633.1527099609375,6551864
2023-11-09,634.581478435372,644.0903709192434,633.3005030074061,639.8532104492188,10155047
2023-11-10,639.8532318201289,643.4006179035721,634.5814996302079,641.5283813476562,6425792
2023-11-13,643.4498842737933,644.4352592879951,639.8039846927429,643.6962280273438,3279829
2023-11-15,650.3474473253095,663.6500087478727,646.9478918221521,661.728515625,11324434
2023-11-16,664.1427338115557,675.4745460353433,661.0880954430191,670.4491577148438,17501373
2023-11-17,672.5183936080326,677.5930985838384,669.660782237528,671.582275390625,9563220
2023-11-20,672.0257540666042,676.7062853449274,660.8910285277285,664.4383544921875,8324354
2023-11-21,667.0988283345299,673.3066783717696,665.1280784723895,671.7301025390625,7291057
2023-11-22,673.9472691469798,677.2975081900635,666.1627822911768,671.2374877929688,9279642
2023-11-23,673.208206026134,675.8687305309161,667.1481257731593,670.0057373046875,5885370
2023-11-24,671.434567708015,671.9765119445657,661.4329871231859,663.84716796875,6951690
2023-11-28,667.5422559827406,689.2205043656371,664.3890441894531,687.2990112304688,16015860
2023-11-29,692.4722482384329,703.9518904981817,684.1950745760158,701.9318237304688,16122864
2023-11-30,705.8240848905522,706.7602031483909,686.8063598388685,696.0689086914062,24275245
2023-12-01,697.6455067457928,700.6016317743766,692.718631698153,695.1328125,10565415
2023-12-04,705.5285027096462,706.5138777134306,694.4922906387571,695.2805786132812,9348036
2023-12-05,695.5762223438206,704.4445971626071,694.6893608049356,698.5816040039062,9601509
2023-12-06,698.6801066894994,714.1997623834682,698.6308499697676,711.8841552734375,12148825
