actual,pred_lr,pred_lstm
1442.1004638671877,1455.3074891893657,1426.7206
1435.8658447265627,1444.5852825151824,1434.3185
1452.78857421875,1439.1873240835619,1435.0122
1443.8818359375,1452.9175426849606,1439.098
1448.6322021484377,1444.7805344139144,1439.2048
1432.5999755859375,1449.302820163027,1439.7659
1444.4000244140625,1435.9907039470802,1436.9703
1448.6999511718748,1443.9105128882857,1437.3582
1463.4000244140625,1449.4229503669862,1437.8845
1453.699951171875,1462.4391861235522,1443.1736
1462.8000488281248,1456.600381970828,1445.3875
1447.4000244140625,1463.7632356404292,1450.2058
1452.199951171875,1450.384267040013,1449.2329
1433.800048828125,1452.1337384731655,1448.5409
1424.4000244140627,1436.433521751559,1442.258
1419.800048828125,1424.959526662092,1434.8798
1409.199951171875,1421.09066887909,1426.7345
1413.5999755859373,1409.512609503627,1418.6782
1386.6999511718748,1413.7378405244872,1412.8766
1397.800048828125,1389.6107020415918,1403.339
1408.0000000000002,1397.730518130731,1398.2872
1456.0999755859375,1408.5287789541399,1397.6267
1451.4000244140625,1452.3374844085306,1410.8638
1439.199951171875,1454.7192496776267,1422.6222
1452.8000488281248,1443.6481824580778,1431.0378
1422.0,1456.504611734505,1438.914
1433.9000244140625,1424.7007847351963,1436.2339
1456.0,1433.3799475467063,1432.056
1461.4999999999998,1455.6931059743129,1435.0884
1494.699951171875,1460.2073791822447,1441.1534
1494.699951171875,1494.8261873106874,1454.1603
1520.4000244140625,1497.5707311187987,1468.2302
1509.800048828125,1520.3968659982806,1484.8473
1517.300048828125,1513.6989541827734,1494.1914
1529.5,1517.575286937514,1502.208
1536.699951171875,1530.376704452986,1508.9673
1541.6999511718752,1535.5170609085048,1516.4839
1562.300048828125,1542.170647870958,1522.1523
1570.800048828125,1561.6570540012165,1532.8805
1591.800048828125,1570.5375042479297,1543.6558
1561.5999755859375,1590.6411379865283,1557.0328
1550.800048828125,1565.1325992094216,1559.7474
1568.199951171875,1551.9253490473054,1556.9875
1578.4000244140625,1566.761981851201,1556.6653
1575.4000244140625,1574.1853332018122,1559.1119
1578.199951171875,1574.5848455027408,1559.7706
1579.4000244140625,1578.8387490619905,1563.36
1605.5999755859375,1579.1299836197898,1567.0634
1612.5,1602.4721117101606,1575.4252
1646.6999511718748,1611.2925147153271,1584.208
1633.0,1643.7558582689908,1600.8267
1631.5,1635.042612623301,1611.2716
1612.300048828125,1631.4464324312198,1618.07
1612.4000244140623,1614.3273920212541,1615.5521
1604.5999755859375,1609.4235254369846,1611.8281
1590.9000244140627,1602.8999229892395,1604.2906
1607.699951171875,1588.894480996562,1595.7231
1612.0,1604.7524216346676,1593.2279
1596.9000244140625,1609.3835526744233,1594.6482
1601.800048828125,1596.1570137116241,1592.3401
1625.1999511718748,1601.49000845385,1591.8374
1577.9000244140625,1621.953610352969,1598.5132
1582.199951171875,1579.201235239328,1591.0587
1586.0999755859375,1581.4264701788816,1584.2877
1614.800048828125,1585.0424336931405,1580.7206
1588.5,1607.8078849770266,1585.4698
1588.5,1589.987337042475,1582.4125
1670.5,1588.3489230489447,1582.6821
1718.300048828125,1664.4471127545628,1603.659
1678.5000000000002,1711.3876217721543,1636.0288
1686.6999511718752,1682.3021142906289,1651.5981
1687.4000244140625,1691.5103443764172,1665.6323
1701.0999755859375,1687.3716456439947,1674.9515
1745.0999755859377,1694.4524950599452,1679.3497
1762.9000244140625,1739.8065681406024,1692.0453
1768.4000244140623,1759.3148522752774,1711.5736
1743.0999755859375,1767.2726887890865,1728.4319
1724.0,1745.6182334925202,1734.2042
1716.5,1723.3029379877512,1730.5712
1645.300048828125,1713.1376138083194,1721.222
1646.1999511718748,1644.8460788838859,1693.21
1619.9000244140625,1641.1603891178108,1668.9698
1621.699951171875,1616.7180251977734,1644.9279
1644.5999755859375,1613.6904840633247,1627.8947
1634.4000244140625,1640.3470768503473,1622.2114
1536.5999755859375,1631.486678305966,1621.8312
1534.4000244140625,1543.1959805246602,1595.5532
1512.699951171875,1534.193693109993,1571.9302
1523.800048828125,1509.5953954116999,1546.5787
1504.8000488281248,1514.4466048724614,1528.05
1479.300048828125,1505.3313333761648,1511.1938
1456.9000244140623,1479.7346106451812,1498.605
1440.9000244140625,1458.980511916526,1482.0055
1345.4000244140625,1440.1408150618513,1465.349
1361.800048828125,1350.7149293532482,1426.6611
1361.800048828125,1359.1136277806502,1398.0005
1357.8000488281252,1359.5257526092594,1377.8184
1345.4000244140625,1353.1196872791345,1364.011
1351.199951171875,1350.0266565632446,1352.5112
