actual,pred_lr,pred_lstm
1180.4000244140625,1165.1250009937899,1171.7609
1189.5999755859375,1177.9663270365872,1168.0131
1176.800048828125,1190.858006007561,1177.8561
1169.5999755859375,1178.3462107017328,1178.7776
1196.300048828125,1166.0608754005361,1173.5319
1200.199951171875,1192.421122123734,1179.0498
1226.0,1203.9911269462573,1189.1605
1237.300048828125,1223.324255353372,1209.0735
1258.800048828125,1237.5619704040992,1226.3975
1241.9000244140625,1256.2378672243105,1243.1287
1254.0999755859375,1242.2566212919826,1244.9741
1246.300048828125,1246.7951921812771,1243.8129
1248.800048828125,1245.3663040263195,1239.7449
1238.5999755859375,1245.161086785603,1237.325
1232.800048828125,1236.5126608535543,1234.0364
1233.699951171875,1229.2208071052003,1225.9492
1226.5999755859375,1230.3789152864415,1223.3737
1228.5,1225.4639505241269,1219.4298
1222.800048828125,1225.2153979253796,1219.2588
1217.0,1221.3692820048914,1216.874
1222.5,1214.5871601191911,1212.2078
1221.5999755859375,1219.221015852679,1212.3981
1225.199951171875,1220.9415168049622,1213.1377
1241.5999755859375,1222.9249442570358,1216.3569
1249.5999755859375,1238.7964818423275,1226.1259
1265.4000244140625,1249.3772958015395,1236.6848
1270.4000244140625,1262.521238584287,1250.5812
1285.199951171875,1268.7284879304643,1260.0052
1275.800048828125,1281.1322178830142,1269.4465
1269.0,1274.4582206574826,1269.8484
1266.300048828125,1263.806257240995,1262.0353
1290.199951171875,1261.5036378132227,1254.6344
1287.300048828125,1285.6272975449106,1262.5999
1279.699951171875,1288.2763002752126,1272.7709
1275.699951171875,1275.590944038881,1272.7086
1258.0,1269.9971737934573,1265.9536
1270.699951171875,1255.2995030853726,1250.3925
1280.0,1264.2695694494128,1249.752
1282.5,1278.908159082606,1258.5355
1273.800048828125,1281.038524732263,1267.3912
1275.9000244140625,1270.3854580921768,1267.6262
1278.5999755859375,1270.3635912350892,1262.7814
1272.699951171875,1275.4317478121022,1261.9987
1286.0999755859375,1270.43266008882,1260.6434
1284.800048828125,1280.7121249144022,1266.5992
1219.5999755859375,1283.5416726922792,1270.186
1224.699951171875,1219.860720331917,1238.8674
1229.800048828125,1210.3111000086517,1214.2798
1230.5999755859375,1229.6642407854322,1207.0255
1233.199951171875,1232.2449729099894,1213.973
1225.0,1230.5377291512195,1225.3527
1226.300048828125,1223.3623706683304,1221.7773
1228.199951171875,1222.5443919896154,1218.7594
1232.0,1226.178094659195,1218.6128
1246.0,1230.241464875476,1221.3573
1269.4000244140625,1243.357841334663,1231.0485
1274.4000244140625,1267.528967094247,1248.627
1266.9000244140625,1274.4477882387187,1262.939
1285.800048828125,1263.694024419587,1264.2495
1293.800048828125,1278.8453450196487,1268.1233
1295.5,1292.8460703646178,1274.9838
1286.800048828125,1292.8873450011479,1281.856
1272.0,1282.6428601820448,1279.432
1274.199951171875,1267.2867213193942,1264.726
1262.0,1268.2365668082305,1256.8108
1298.800048828125,1260.5088457607033,1249.7644
1298.800048828125,1291.9263500664888,1265.8802
1294.199951171875,1301.3991877946867,1281.835
1307.5,1290.3114362492543,1285.6711
1293.5,1300.1730894274813,1290.1224
1284.9000244140625,1292.5932795535255,1281.6239
1294.800048828125,1279.065247627263,1273.55
1258.0,1288.6573847353584,1272.7086
1315.800048828125,1259.026937323977,1255.6989
1319.800048828125,1302.9189723044021,1273.9226
1363.699951171875,1325.540190237615,1295.7622
1370.4000244140625,1357.6662282669604,1329.8071
1311.5,1369.1397516725451,1355.2983
1356.199951171875,1309.4856331529177,1322.4967
1338.699951171875,1336.4371767262396,1316.293
1330.5999755859375,1343.1038722905,1309.3451
1341.5999755859375,1324.9631300085236,1308.0917
1341.4000244140625,1332.868615029539,1315.2457
1356.699951171875,1339.2792089243235,1311.776
1347.300048828125,1350.7806996225515,1325.4772
1340.0,1344.584354155852,1327.6244
1332.300048828125,1333.2765957730514,1319.4944
1358.300048828125,1325.9173798509746,1309.4951
1357.199951171875,1351.0627650303263,1316.871
1377.0,1356.84138163746,1329.23
1356.5999755859375,1369.9058125184017,1344.8986
1368.300048828125,1354.148029743011,1341.3641
1386.699951171875,1358.1580627593296,1335.9791
1387.5999755859375,1381.2928372563904,1346.4403
1403.0,1385.2964032369073,1354.6016
1395.5,1394.9841360801431,1368.4817
1383.9000244140625,1391.130534722355,1366.6158
1372.300048828125,1376.5108339715366,1354.6416
1351.300048828125,1364.2582929643731,1340.249
