actual,pred_lr,pred_lstm
1540.2210693359375,1531.9942932571366,1534.4163
1549.183837890625,1541.9256004014171,1536.5479
1571.9355468750002,1549.974135531855,1541.8572
1606.5062255859375,1572.2754550824422,1553.0419
1584.345458984375,1605.7750506480866,1571.093
1577.844970703125,1587.5643294467732,1581.4463
1599.31640625,1579.8958220699092,1586.1572
1615.173583984375,1596.5032503626417,1593.133
1608.2791748046875,1615.5116556666283,1601.3231
1593.997802734375,1610.7137105365262,1604.7537
1598.429931640625,1595.4719672303254,1605.4347
1560.1164550781252,1597.8300509776393,1606.266
1557.7525634765623,1562.6722158536159,1595.1476
1590.550537109375,1559.3170380150825,1582.9989
1591.6339111328125,1587.4887345298785,1581.7941
1583.7545166015625,1593.868645921979,1584.1753
1577.6480712890625,1586.8173959582114,1584.9999
1582.57275390625,1577.7296779218761,1586.6458
1586.2169189453125,1582.6694418534971,1588.3165
1594.293212890625,1586.853164236771,1588.049
1615.96142578125,1595.123791558953,1590.2626
1602.4681396484375,1615.4723496172967,1598.7217
1613.9915771484375,1604.3109292963095,1603.5299
1609.0670166015625,1614.6389906279358,1609.3607
1591.4370117187502,1608.5469120411392,1612.385
1570.8520507812502,1594.08505942782,1609.2014
1546.6230468749998,1572.0300158841605,1598.8861
1561.6922607421875,1548.116554574999,1584.3347
1583.6561279296875,1561.2904620376448,1574.5072
1559.6240234375,1582.994946757984,1573.5518
1562.1846923828127,1563.8029060241272,1570.1807
1560.4119873046875,1563.539769636195,1569.3158
1547.2139892578125,1559.6324483541785,1569.4794
1550.7596435546875,1550.0704843164824,1564.8077
1529.0914306640625,1551.4870051515963,1559.915
1492.84619140625,1531.0507860133966,1552.6227
1493.1417236328125,1496.9449106197847,1536.8704
1490.8763427734375,1493.3605856861416,1522.7043
1496.0965576171875,1491.7332691929546,1511.6039
1486.247314453125,1498.9153522465149,1504.3376
1447.4412841796875,1488.638292380322,1498.9553
1458.1770019531252,1452.0387758190493,1488.1393
1438.2816162109375,1458.8189759054012,1479.818
1415.0373535156252,1440.2017298290616,1468.6755
1415.234375,1420.653927630175,1453.6228
1401.6424560546875,1416.3496208427546,1441.541
1406.66552734375,1404.7184499124255,1431.7173
1402.6274414062498,1409.9570314385496,1423.8625
1405.0897216796875,1405.0978839842892,1418.8556
1425.8714599609377,1408.5589636829934,1417.3618
1414.1510009765625,1427.1508899060684,1421.0745
1418.2877197265625,1418.0339737330044,1423.7958
1473.6402587890625,1421.7250334550438,1426.2142
1473.8372802734375,1471.7262139370455,1440.8827
1465.0714111328125,1477.1646047826787,1455.5193
1508.9989013671875,1470.5091402908142,1464.5596
1506.5366210937502,1506.5618227930852,1482.0598
1477.4814453125,1508.4090143320789,1496.371
1447.4412841796875,1483.5909142416008,1496.7356
1476.7921142578125,1449.4216485111701,1488.0671
1476.1025390625,1475.635009786674,1485.9431
1456.7980957031252,1477.9470558653709,1481.735
1440.94091796875,1462.6319048036041,1475.3112
1422.8182373046873,1442.984488422712,1468.2393
1411.2947998046873,1425.2569093551049,1459.2585
1481.6181640625,1414.326030692591,1445.8989
1509.491455078125,1479.5993105755267,1450.8827
1486.9366455078125,1510.5835670839697,1467.3073
1502.596923828125,1494.4317207145684,1479.8416
1485.6563720703125,1502.4435632897141,1493.9288
1488.5126953125,1486.5157861371683,1500.9598
1499.4453125,1491.7233644829,1500.2125
1517.370849609375,1499.3283814788754,1500.0225
1516.9768066406252,1518.936880602774,1506.5765
1476.8905029296875,1519.2911246889882,1511.821
1474.9206542968748,1481.5384772500468,1507.9119
1472.0643310546877,1476.0562818603073,1501.594
1462.4122314453123,1472.2194245200803,1493.8933
1427.053466796875,1466.364311413569,1484.1455
1420.060546875,1431.2805784039026,1468.3783
1420.060546875,1422.3468013578133,1455.6384
1424.000244140625,1421.1822049703385,1444.8119
1424.7880859375,1427.32513896332,1437.6382
1453.7448730468748,1427.7117073404288,1433.8317
1436.5086669921875,1454.8686004704502,1440.6615
1472.4583740234375,1440.138705597642,1444.4542
1486.5428466796875,1474.1147466762457,1455.1862
1492.058349609375,1486.313557923617,1468.2322
1470.6854248046877,1496.325584197384,1480.9105
1467.435302734375,1473.4876685489307,1484.0449
1452.1690673828125,1469.3677267160383,1485.347
1449.312744140625,1453.9450626049804,1478.8834
1419.37109375,1452.2404169738702,1471.0762
1438.87255859375,1422.8798925754752,1457.4889
1450.1992187500002,1440.4613242208313,1451.4578
1505.4532470703125,1450.754404138267,1450.3861
1502.4000244140625,1506.6223005300171,1464.9146
1504.4999999999998,1504.8797845183692,1479.9009
1500.1999511718752,1508.6573013637797,1495.2733
