actual,pred_lr,pred_lstm
1380.300048828125,1375.464512813077,1377.9395
1379.4000244140625,1379.9485252737536,1380.9631
1384.0999755859375,1379.2089586150068,1384.0842
1398.4000244140625,1383.5217930138288,1385.8699
1417.300048828125,1396.84196101634,1391.0903
1436.5999755859375,1415.2934373325713,1399.1174
1390.300048828125,1434.7020348468757,1410.6649
1382.0,1394.7776147431039,1414.7438
1363.699951171875,1382.2232401874114,1413.9626
1377.699951171875,1364.7401426010592,1405.8877
1377.5999755859375,1374.7226272318574,1396.3489
1363.0999755859375,1377.1344652149226,1385.3695
1370.4000244140625,1363.9952245175837,1380.6984
1362.4000244140625,1369.617028667339,1378.4591
1345.300048828125,1362.885560766156,1377.846
1346.4000244140625,1346.4502655972422,1371.7397
1336.9000244140625,1346.0896393780763,1365.3457
1320.4000244140625,1337.4562292008688,1359.7009
1343.0,1321.5900078438033,1350.0325
1348.0,1340.7436466600116,1345.3484
1358.300048828125,1347.5744237428496,1345.5957
1358.9000244140625,1357.3915736236834,1348.432
1385.9000244140625,1359.5367896631255,1353.7203
1373.0,1383.4987124096845,1365.9675
1379.0,1374.6054408106963,1372.8119
1373.4000244140625,1378.353488058326,1379.1108
1383.0999755859375,1374.1722026935875,1382.2648
1383.0,1381.6236231404475,1386.193
1369.5,1382.901583838842,1385.9885
1368.4000244140625,1370.4655657184444,1385.6956
1357.800048828125,1368.2760416093026,1383.5675
1375.0,1358.4153119379764,1380.1339
1392.199951171875,1372.7629916743892,1377.7435
1388.800048828125,1390.43586208861,1379.4677
1390.0999755859375,1389.013834991377,1384.1106
1373.0,1390.1437799146277,1389.1855
1391.5,1374.5856124436002,1392.333
1386.699951171875,1389.1172590417023,1394.4742
1392.5,1386.8542454023311,1393.4795
1389.5999755859375,1391.355481188807,1394.2944
1375.199951171875,1389.8902558923007,1394.788
1363.5999755859375,1376.0913812246515,1395.2136
1360.0,1364.2775134861797,1389.7587
1366.0,1359.7249180534243,1383.7909
1365.199951171875,1364.7720701202413,1377.93
1366.0,1364.915778519081,1373.3108
1352.4000244140625,1365.7631385731195,1371.8182
1356.800048828125,1353.6837437221927,1370.0613
1354.0999755859375,1356.106180364389,1368.9415
1368.5,1354.2021298827312,1366.3804
1363.0,1366.794134801706,1366.5851
1359.800048828125,1363.6683555003806,1366.6583
1350.4000244140625,1360.024452270281,1368.3832
1343.300048828125,1351.3946479681276,1367.3376
1342.5,1343.645083151719,1364.7476
1342.9000244140625,1342.3218611087036,1359.2875
1338.0,1342.6254388006662,1355.0359
1355.4000244140625,1338.3940607555119,1350.9297
1371.5,1353.7684342186424,1351.5161
1411.199951171875,1370.170453133992,1356.9308
1427.699951171875,1407.6117874218028,1370.3481
1435.0,1426.8323847039626,1388.3535
1404.300048828125,1434.719189633987,1408.6674
1413.0999755859375,1407.6134526465821,1419.6132
1437.0,1411.5953720090065,1426.4856
1418.4000244140625,1433.9303853446022,1430.1385
1418.4000244140625,1419.1435193556083,1428.9645
1410.800048828125,1417.8779761012536,1426.7156
1380.5999755859375,1411.0799450532324,1427.6708
1375.800048828125,1382.299289019878,1421.061
1349.0,1375.2771132929406,1408.7394
1345.5,1350.6126787119751,1394.6815
1343.4000244140625,1344.613860195841,1379.5897
1361.4000244140625,1343.1034850257142,1366.0767
1367.699951171875,1359.0637429597782,1361.4918
1383.5999755859375,1367.20984370722,1360.5203
1355.0,1382.2256472006825,1367.678
1352.800048828125,1358.185826553158,1371.0011
1389.699951171875,1352.8107710810382,1372.4939
1408.4000244140625,1386.0484970220075,1376.4053
1396.5,1406.2012315068885,1384.0804
1406.0999755859375,1397.8558886421347,1388.8883
1396.300048828125,1405.5729181885883,1399.4879
1406.5,1397.0794510284932,1407.5698
1406.0999755859375,1404.7273190896262,1410.2156
1430.0,1405.8099599156392,1410.0543
1414.5999755859375,1427.03821753812,1416.1217
1411.5999755859375,1415.899573436165,1418.8947
1407.5,1411.2584956771138,1422.0773
1408.199951171875,1407.5073993791336,1422.1108
1388.800048828125,1407.0642740846502,1421.69
1394.5,1389.9369253436107,1414.2014
1399.4000244140625,1393.1091189156882,1409.7825
1384.800048828125,1398.3083869912432,1406.9563
1400.5,1385.4201675292418,1402.8502
1404.9000244140625,1398.5624471234353,1401.2928
1378.9000244140625,1404.1407444009897,1404.2179
1374.0,1380.797353659418,1401.9807
1365.4000244140625,1374.1084167095464,1397.1399
